,A-DALI Equity,A-Dana Income,A-Dana Equity,A-Dana Balanced,A-DALI Equity,Aberdeen Std Islmc World Eq A,Advantage Glbl Eq Volatility Focus MYR H,Advantage Asia Pacific ex Japan Div,Advantage Glbl Eq Volatility Focus AUD H,Advantage Glb High Income Bond USD,Advantage Glb High Income Bond RM-Hdg,AHAM Absolute Return II-AUD,AHAM Absolute Return II-GBP,AHAM Absolute Return II-MYR,AHAM Absolute Return II-SGD,AHAM Absolute Return II-USD,AHAM Absolute Return III,AHAM Aiiman Enhncd i-Profit A Inc,AHAM Aiiman Enhncd i-Profit B Acc,AHAM Aiiman Asia(Ex Jpn)Gr MYR,AHAM Aiiman Bal,AHAM Aiiman Glb Mlt Thmtc MYR Hdg,AHAM Aiiman Glb Mlt Thmtc AUD Hdg,AHAM Aiiman Glb Mlt Thmtc SGD Hdg,AHAM Aiiman ESG Income Plus,AHAM Aiiman Glb Mlt Thmtc USD,AHAM Aiiman Glbl Sukuk MYR,AHAM Aiiman Glbl Sukuk MYR Hdg,AHAM Aiiman Glbl Sukuk USD,AHAM Aiiman Glb Thm Mxd Ast AUDH,AHAM Aiiman Glb Thm Mxd Ast MYRH,AHAM Aiiman Glb Thm Mxd Ast SGDH,AHAM Aiiman Gb Thm Mx Ast USD Ins,AHAM Aiiman Glb Thmtc Mxd Ast USD,AHAM Aiiman Growth,AHAM Aiiman Income MYR Inc,AHAM Aiiman Money Market,AHAM Aiiman Quantum,AHAM ASEAN Flexi,AHAM Aiiman Select Income,AHAM EduGrowth & Income Fd,AHAM Bond,AHAM ESG SGD Bond MYR,AHAM ESG SGD Bond SGD,AHAM Enhanced Deposit Fund,AHAM Equity,AHAM Flexi 6,AHAM Flexi Fund 7 SGD
YTD Return,0.08034566339972593,0.014032602560839269,0.0841995318752673,0.06791773711871252,0.08034566339972593,0.11172013541834591,0.054144778987828435,0.0551462591145957,0.059432672353361804,0.01210946476565411,0.0034688293922220392,0.1502233049127082,0.10731907894736836,0.126626940567665,0.12040210189627598,0.0981977818853974,0.11453335396997355,0.00789015664281556,0.007928067291888219,0.06972278232720197,0.039987895555939845,0.10911510312707917,0.10917721518987333,0.10961325966850821,0.014110414198241772,0.11456768933705197,0.04009034443817039,0.007126061280537055,0.014180133668092898,0.11520737327188924,0.05774907749077496,0.08643140215134926,0.06727721028531186,0.06484641638225264,0.0775462669137621,0.008549010422766123,0.00856899136638578,0.1391378777431702,0.024767561983471076,0.03930080951357562,0.058942268873637405,0.012091565185937903,0.020367461480082616,0.014792958792477107,0.00907368798619057,0.12364069796553712,0.055312556952797465,0.06802666452493766
1Y Return,0.10770859896700014,0.06457459539217636,0.11812341833755102,0.11044213466767006,0.10770859896700014,0.28776844070961727,0.12525729134612096,0.12034624209833966,0.1433600743054464,0.07341238304140041,0.03459566194174957,0.06563851796125642,0.01814744801512269,0.11129156999226608,0.05530449752528521,0.03913423699169227,0.08514165159734777,0.031018793273986267,0.031055286321827635,0.12483593197847997,0.0487227178935743,0.24619985048592086,0.24987264391237907,0.2568210262828534,0.060468743230949196,0.2827160493827159,0.1018490824961733,0.0004636068613816935,0.030357463624932635,0.17960254968128986,0.11732605729877221,0.16917140536149478,0.16091954022988508,0.15151515151515138,0.13075634617497878,0.033439999999999914,0.036748196468665784,0.22663150618295402,0.05148929404282376,0.08331964336384945,0.14142732811140113,0.0559144615661078,0.10203964925657649,0.046532808942248094,0.037071383725685525,0.1547897392296591,0.13818181818181796,0.1852049910873439
3Y Return,-0.04481756177555818,0.1394657646678441,-0.0022697532222389905,0.05146988013687648,-0.04481756177555818,0.3110266159695816,0.07447093315572628,-0.01175866177128404,0.06431549735737496,-0.08658172604394909,-0.11882309533820135,-0.04948834088240228,-0.10975206611570254,-0.0761267922587281,-0.18767599801225776,-0.19042752512348826,-0.1534211145074066,,,-0.13971164134979208,-0.20754779133222812,,,,0.098038863868803,,0.10798952657278327,-0.050593928728552506,-0.030688116804109655,,,,,,-0.05586696250326706,,0.08549291268483361,0.05341732352714823,0.1016589158048169,0.02790176989896409,0.05638340716874746,0.11079813981625009,0.15372181201357016,0.013795869260076365,0.08425470925470924,0.06080115919390794,-0.03820280707582435,-0.04227583723442563
5Y Return,-0.022857251791978173,0.2507541735486427,0.32351721277478207,0.3556210372970021,-0.022857251791978173,0.778694867165334,0.3513899724879894,0.2538970745248772,0.2944868000373144,0.013466329174712133,-0.01036898555473098,0.12823576264436487,0.06843880182503459,0.1758592471358429,0.01933070047807095,0.021930767576865184,0.06665679158643156,,,0.21077472442167355,0.05582620144832129,,,,0.16811574838469534,,0.24434730776872637,0.09032258064516152,0.06901243081051867,,,,,,0.35537035041291976,,0.14661239843072704,0.5242503777936847,0.3323819277715283,0.1328929079011072,,0.19279762086010366,,,0.14566510769622343,0.42023472111389326,0.18451467730387638,0.2464148467522731
10Y Return,,,,,,1.2885208907178178,,0.9398070068677735,,,,,,0.7706715958102281,,,,,,,0.18402401811201896,,,,0.45981727535125594,,,,,,,,,,0.42764347277696024,,0.37873460661849156,0.5722184849131213,,0.33612083256585,,0.4901727067535695,,,0.3676602403415221,0.5162716569842167,,
2017 Return,0.02961871750433276,0.010885885885885793,0.014042272126816524,0.011850152905198641,0.02961871750433276,0.07389229350832482,0.15740811346652417,0.18556930385337678,0.15324413027013395,-0.0011999999999999789,0.0041999999999999815,,,0.15223565394698513,,,0.15940016662038325,,,0.23104023734470625,0.1403666967237751,,,,0.03977967525493664,,-0.08356456575495019,-0.007440000000000002,0.03657810079828416,,,,,,0.15415906439745175,,0.03469981402298483,0.25107479156876056,0.14190556341432825,0.08806205761037456,,0.05062307964682633,,,0.03640965866376078,0.22397932329350412,-0.0010000000000000009,
2018 Return,-0.12433844367808256,0.059814971562643926,-0.1622759280871766,-0.1035619101132127,-0.12433844367808256,-0.10494373498545972,-0.09728812442335577,-0.11490216029628175,-0.10435470833894667,-0.04891271670508068,-0.022661226114649602,-0.10740000000000005,-0.08620000000000005,-0.14602630964427488,-0.14280000000000004,-0.17520000000000002,-0.12396816037735847,,,-0.10564635958395252,-0.08080555902301001,,,,0.04772464819678501,,0.023628569653544318,0.02287230809748597,-0.004976171792761663,,,,,,-0.09712102099873854,,0.03588814324544298,-0.15971835689635983,-0.09129771952158672,-0.02293842107720312,,0.05103825967901421,,,0.03629566061960743,-0.098302996071988,-0.08608407745560342,0.0013000000000000789
2019 Return,0.05148233623291332,0.09258040577437376,0.08642425010294263,0.08385042804346154,0.05148233623291332,0.24199217642723503,0.2376520659043584,0.20377267659876352,0.22471212463310009,0.11929245927124144,0.12721515133061323,0.21063302545618368,0.170499778858912,0.19527718845124986,0.19310670443814915,0.20879390813068022,0.214855011022554,,,0.1269601169767558,0.04077740441376809,,,,0.07541303182416303,,0.07148050898808322,0.10340055357848965,0.0840715617133303,,,,,,0.05088984770312455,,0.03529028146259772,0.09763151333831965,0.029023336214347495,0.07577427444215501,,0.0758865834504423,,,0.03552540371235646,0.07273247701169994,0.1530030688294608,0.14389563831905994
2020 Return,-0.009644859813084161,0.06812037974197027,0.2347383720930234,0.2139056347216437,-0.009644859813084161,0.15926732942938848,0.09599002091205944,0.08221618958776622,0.07229449464895454,0.05032075859876195,0.057513032399307384,0.10275229357798144,0.1635102193887119,0.17759999999999998,0.1794071762870515,0.19871666332464422,0.15189873417721533,,,0.3129514505624631,0.3164790471348682,,,,0.04997871126128994,,0.04456892812010782,0.06626635597777386,0.059109283029572524,,,,,,0.3587130397871312,,0.02459098521391856,0.2982221084799854,0.11976994484057601,0.05063929514373,0.00039999999999995595,0.05031833066057212,,,0.024416543757668885,0.20336505236297908,0.13742132366965487,0.19118030790641027
2021 Return,-0.050033266799733855,-0.014292548738189081,0.006307113420534138,0.023618497563015373,-0.050033266799733855,0.253260890885197,0.11851251080829273,0.053631687737345723,0.1032256683881645,-0.017213107488854074,-0.006791343571030173,-0.018242122719734688,-0.060304731355252716,-0.04807940190770821,-0.0571946596340861,-0.0794283815221003,-0.07693228044986844,,,-0.01588256259467158,-0.11848560177750389,0.004999999999999893,0.010000000000000009,0.0047999999999999154,-0.022004426722244674,0.0012000000000000899,0.043901732534352034,0.015737848097013618,0.0037295959325660544,,,,,,0.02111565066138099,,0.018241752102131414,0.05768135151789977,0.0882178628578203,-0.034266294044124845,0.0043964828137492695,-0.009555360858613526,0.009400000000000075,0.0016000000000000458,0.01738746530066715,0.13149583215793004,0.012731384538068546,0.04056720999926888
2022 Return,-0.03166029414739746,0.019490127589385287,-0.05919047961803303,-0.049109152891232966,-0.03166029414739746,-0.21852664576802505,-0.13264058679706592,-0.13595771824311997,-0.14674865348928923,-0.1519934230140303,-0.15448442717917255,-0.1353168599764667,-0.09022812393598922,-0.1463891134465104,-0.19497732821764913,-0.19068177729807512,-0.1577042399172699,0.0036000000000000476,0.0037000000000000366,-0.22791358149913787,-0.15426071048923373,-0.26940639269406397,-0.2882259976293955,-0.273972602739726,-0.004462399662019556,-0.2644479872459148,-0.03072021057370966,-0.07918974782968169,-0.0815796050987253,0.01079999999999992,-0.007600000000000051,-0.042200000000000015,0.0038000000000000256,-0.008199999999999985,-0.1576081309169749,,0.022890293911922655,-0.1582120854633634,0.02141455972101136,-0.0487004977434663,-0.10563939634630659,0.004725410364584404,0.013238490416913828,-0.04471057884231533,0.022555452535482523,-0.14972460383088404,-0.18196843236096183,-0.22332210053355805
2023 Return,0.0025965253002890876,0.07300422662297557,0.025128218344887987,0.04441571695866653,0.0025965253002890876,0.2524743566672665,0.08341278065630409,0.11967284589402682,0.09656374313316918,0.06576517290423922,0.03103289024537159,-0.04586451736710806,-0.09358239319400774,0.006683966344263492,-0.05029138786963083,-0.03371035706365055,-0.009018648731274892,0.029773881860743145,0.029880478087649376,0.05758371920860483,0.01577915044351408,0.24373638344226567,0.2458970792767734,0.25568648944916417,0.06442361993505585,0.28040173724212814,0.07006244424620878,0.00025150453606404,0.02527763664077809,0.11637931034482762,0.10207786967924148,0.112038389317755,0.14057826520438677,0.13178607467204828,0.05680566114194052,0.024680000000000035,0.0364766894925157,0.09156249999999999,0.026567481402762994,0.06345679763825074,0.09897913892587651,0.06215862617908341,0.10288555273932531,0.04053884711779454,0.03630922983062668,0.04796254908573361,0.10544320354160375,0.12762884736889601
2024 Return,0.08034566339972593,0.014032602560839269,0.0841995318752673,0.06791773711871252,0.08034566339972593,0.11172013541834591,0.054144778987828435,0.0551462591145957,0.059432672353361804,0.01210946476565411,0.0034688293922220392,0.1502233049127082,0.10731907894736836,0.126626940567665,0.12040210189627598,0.0981977818853974,0.11453335396997355,0.00789015664281556,0.007928067291888219,0.06972278232720197,0.039987895555939845,0.10911510312707917,0.10917721518987333,0.10961325966850821,0.014110414198241772,0.11456768933705197,0.04009034443817039,0.007126061280537055,0.014180133668092898,0.11520737327188924,0.05774907749077496,0.08643140215134926,0.06727721028531186,0.06484641638225264,0.0775462669137621,0.008549010422766123,0.00856899136638578,0.1391378777431702,0.024767561983471076,0.03930080951357562,0.058942268873637405,0.012091565185937903,0.020367461480082616,0.014792958792477107,0.00907368798619057,0.12364069796553712,0.055312556952797465,0.06802666452493766
YTD Sharpe,4.955322012932145,3.421190932163645,5.044954992038336,5.35749024227289,4.955322012932145,5.153978484082325,3.179467450146542,1.6235783890896396,3.5895080487901607,0.5664693776213774,-0.36067239737993034,9.334987106280959,5.138347692581843,7.7099176885610685,6.925457107146853,4.610462004850312,6.894928751479483,2.600307761434557,3.100812249113017,2.49670819472926,2.945377822955223,3.372526905881412,3.3741286187787316,3.39560524228926,6.055590895588006,3.572144210060045,3.3228552160150358,0.05676870797200455,2.1326930206825083,5.894039734366188,2.6588586338952345,4.676895394825287,3.2232533498825884,3.0970620032515974,4.751651818995818,0.6601440282260531,3.6982933905460764,7.946407003479761,0.8677731676284459,4.177812467797282,6.989471234514727,4.407045006914639,2.1884092862363884,3.618530095485594,5.894238138061897,7.276298260480667,4.952418639291672,5.005319605173028
1Y Sharpe,1.4179400387890526,2.778487428485459,1.5243590012704766,1.889974723723931,1.4179400387890526,2.5131293868029445,1.1405897851728715,0.7975520946384386,1.351341693675727,1.1202300410691346,0.16271647590673838,0.41411346815681954,-0.10301387878717547,0.9927880262996023,0.3257417738361963,0.11122343747100756,0.6704155926939429,2.0793273843136135,2.269961178208052,0.8708407597712916,0.4297650542311658,1.6593175465364973,1.6846571182132228,1.7420076900493475,3.2247482454777843,1.9333334524946084,1.3918250751962757,-2.0643987541645563,0.17740378256616304,1.5245937370207037,1.240515372115075,2.022819787327202,1.8444714405346252,1.7179706032260162,1.6349386929177616,0.5769926099478287,4.638164374386476,2.490568232341726,0.31294204762766864,1.6830521273545267,2.9389743396488512,3.064173790270482,2.1511410905239434,2.2432271830374417,5.797760397923553,1.6723271173957848,1.9432094320759943,2.2702968145968505
3Y Sharpe,-0.5238238324197133,1.0404236998350616,-0.34444182104189525,-0.17244332974655258,-0.5238238324197133,0.4211761046174653,-0.03075706330450945,-0.22901181365941242,-0.05704589135070711,-1.2828507794991912,-1.5448068386597764,-0.40493874830627796,-0.5553287507869819,-0.5130398224774013,-0.9325786831817823,-0.7978174696841414,-0.7419151842560638,,,-0.5574482351544716,-1.472465869608555,,,,0.2343148967307029,,0.14128592464671316,-2.9200017449942974,-2.376297106925472,,,,,,-0.5055312548917849,,-0.1515967570266206,-0.08533121524964783,0.04865668075590427,-0.471769989909235,-0.17399798153139376,0.5779610645873864,0.5516399035655559,-1.8650237574275872,-0.47551198083970075,-0.0643195650179092,-0.5195150140971857,-0.5554945564937656
5Y Sharpe,-0.326922580560065,0.8087072406434328,0.27266797099382656,0.4318650155282983,-0.326922580560065,0.5617802034149686,0.21280267908126047,0.1183825858255612,0.15541260001202237,-0.45179147820924276,-0.5323270655122034,-0.028712718408391614,-0.10940306104651358,0.042408828191066464,-0.20804959003201415,-0.17928834130097845,-0.12710848741194752,,,0.07771999969349028,-0.19901030891711052,,,,0.17146070893911572,,0.3470282534926565,-0.5057062392510451,-0.7870167814211846,,,,,,0.28857469846177514,,-0.14187347806971262,0.4069787577238736,0.24881715790717965,-0.05761191744055002,,0.4739983614130972,,,-0.3140018136416428,0.32597612068507636,0.08346356964370848,0.1922781808634007
10Y Sharpe,,,,,,0.41256737460743687,,0.29288089801181916,,,,,,0.29625991137463353,,,,,,,-0.15696764034954788,,,,0.6706239304112958,,,,,,,,,,0.08367718846300219,,1.4383865144995625,0.15714325792920555,,0.03582549122196406,,0.9303087201832798,,,2.4687905122462124,0.13206697466316641,,
2017 Sharpe,0.03506053818431135,-2.6367678850289926,-0.3035409803710158,-0.4726429011649491,0.03506053818431135,0.675674186549141,2.229579076975751,1.7657719630340887,2.152788825943392,-1.730288957872271,-1.3980307857984695,,,1.665899764700789,,,2.4368123108551663,,,2.753778954426667,3.5148573257819162,,,,2.194730225408416,,-3.3924714393712603,-1.0130339907070882,0.7259125603816972,,,,,,2.460195740558526,,3.249215811677023,4.026063640849509,1.839195426807539,2.613663852133876,,3.181116827229349,,,4.385261229513332,3.2879496954690817,-0.8807764979099046,
